Customer_ID,Name,Age,SSN,Occupation,snapshot_date
CUS_0x122f,Donovang,236,179-85-5358,Media_Manager,2024-05-01
CUS_0x1231,James Reganc,39,780-20-7811,Journalist,2024-11-01
CUS_0x1232,Lawderr,17,441-26-1297,Developer,2024-09-01
CUS_0x1233,Tetsushi Kajimotox,51,816-01-8282,Entrepreneur,2024-05-01
CUS_0x1234,Carrickn,24,101-01-2307,Musician,2024-12-01
CUS_0x1236,Felsenthalq,25,144-88-9752,Scientist,2024-05-01
CUS_0x123a,Michelle Martinh,14,669-29-3700,Media_Manager,2023-03-01
CUS_0x123d,James Reganl,31,736-67-4134,Architect,2023-11-01
CUS_0x1246,Vaughanl,33,609-30-7406,Entrepreneur,2023-09-01
CUS_0x1249,Soyoung Kimm,32,851-75-4209,Teacher,2024-05-01
CUS_0x124a,B.d,28,591-07-8373,Developer,2023-07-01
CUS_0x1250,Denny Thomasx,28,#F%$D@*&8,Developer,2023-12-01
CUS_0x1252,Irene Preisingera,28,938-09-5300,Entrepreneur,2023-02-01
CUS_0x1255,Matt Scuffhamx,47,#F%$D@*&8,Scientist,2023-08-01
CUS_0x1258,Flynng,50,673-09-0668,Entrepreneur,2025-01-01
CUS_0x125c,Luciae,35,298-95-1359,Manager,2024-05-01
CUS_0x1269,Chadbournk,22,755-70-8952,Manager,2024-01-01
CUS_0x126d,Brownj,36,047-21-1235,Architect,2024-11-01
CUS_0x1271,Carrick Mollenkampq,46,842-43-2499,Architect,2023-03-01
CUS_0x1274,Whited,5656,298-61-0480,Scientist,2024-08-01
CUS_0x1277,Baileyt,23,682-00-8701,Engineer,2024-10-01
CUS_0x1278,Rothackern,20,144-54-2861,Teacher,2024-10-01
CUS_0x127d,McCoolg,43,829-08-2773,Doctor,2024-11-01
CUS_0x1281,ernardop,18,728-18-4971,Writer,2023-11-01
CUS_0x1285,Lauriay,43,540-18-1115,Architect,2023-04-01
CUS_0x1286,David Alexo,813,456-37-9366,Entrepreneur,2024-06-01
CUS_0x1288,Taylorq,34_,609-85-2725,Doctor,2024-08-01
CUS_0x128e,Leikam,19,827-28-8015,Mechanic,2023-06-01
CUS_0x128f,David Gaffenk,32,015-60-0619,Teacher,2024-05-01
CUS_0x1290,Pattanaikb,31,922-15-4739,Architect,2024-01-01
CUS_0x1297,Edwardsz,46,#F%$D@*&8,Manager,2023-01-01
CUS_0x1298,Melg,49,779-78-0153,Lawyer,2024-11-01
CUS_0x129b,N.w,24,#F%$D@*&8,Entrepreneur,2023-02-01
CUS_0x12a4,Thomas Ferraroz,24,694-31-4893,Mechanic,2024-11-01
CUS_0x12a6,Natem,25,191-09-1571,Manager,2023-02-01
CUS_0x12a7,Luciat,37,145-72-2113,Media_Manager,2023-05-01
CUS_0x12a8,Baertleine,44,036-08-3232,Doctor,2024-06-01
CUS_0x12a9,Driverb,44,583-20-9758,Media_Manager,2023-05-01
CUS_0x12af,Marius Zahariao,37,430-21-6270,Manager,2024-03-01
CUS_0x12b6,Slatere,18,652-60-9119,Writer,2024-02-01
CUS_0x12b8,Cheef,29,706-59-9144,Doctor,2024-02-01
CUS_0x12be,Matt Scuffhamv,34,157-93-9714,Engineer,2023-04-01
CUS_0x12bf,Tarar,51,235-33-4203,Entrepreneur,2023-09-01
CUS_0x12c1,Michelek,48,902-44-7100,Manager,2023-04-01
CUS_0x12cb,Sakarif,39,075-60-6485,Writer,2024-03-01
CUS_0x12cc,Lauren Tarat,30,761-36-5969,Developer,2024-08-01
CUS_0x12ce,John McCrankz,42,460-15-2731,Accountant,2023-07-01
CUS_0x12d1,Hirschlers,41,618-45-3370,Accountant,2024-01-01
CUS_0x12d5,ita Bosed,28,518-01-2262,Scientist,2024-01-01
CUS_0x12dd,Liana B.v,36,954-59-1206,Developer,2023-03-01
CUS_0x12e7,Le,43,603-76-3049,Architect,2023-10-01
CUS_0x12ea,Aubine,15,511-49-3728,Doctor,2023-08-01
CUS_0x12ec,Guptax,42,836-23-7353,Scientist,2023-09-01
CUS_0x12ef,Christiaans,43,912-09-9755,Mechanic,2024-02-01
CUS_0x12f2,Luke Bakeri,25,006-09-7131,Writer,2023-12-01
CUS_0x12fa,Kathrinw,46,966-60-1936,Manager,2023-11-01
CUS_0x12fb,Jeb Blountz,35,006-29-8039,Doctor,2023-01-01
CUS_0x12fc,illo,18,439-29-4580,Manager,2024-03-01
CUS_0x1309,Mirnaw,51,691-12-6696,Writer,2024-06-01
CUS_0x130b,Nicolacib,31,049-83-9018,Writer,2023-04-01
CUS_0x130c,Douwe Miedemaq,43,187-00-5211,Engineer,2025-01-01
CUS_0x1319,Casey Sullivany,47,#F%$D@*&8,Media_Manager,2023-06-01
CUS_0x131f,Silke Koltrowitzl,46,006-11-7238,Developer,2024-05-01
CUS_0x1324,Jennifer Sabaf,20,477-00-3913,Mechanic,2023-03-01
CUS_0x1325,Philipz,27,918-42-0845,Accountant,2023-01-01
CUS_0x1326,Camposs,19,994-98-1405,Mechanic,2023-08-01
CUS_0x1329,Richarda,50,525-33-6734,Entrepreneur,2023-06-01
CUS_0x132f,Mark Felsenthald,41,561-60-9294,Musician,2024-10-01
CUS_0x1330,Soyoung Kimc,33,#F%$D@*&8,Media_Manager,2023-09-01
CUS_0x1338,Olivia Orang,40,250-62-9181,_______,2024-08-01
CUS_0x133b,Bernard Vaughanz,33,072-54-2150,Lawyer,2024-05-01
CUS_0x133d,Taigai,21,#F%$D@*&8,Musician,2025-01-01
CUS_0x133e,Carews,41,914-49-0079,Entrepreneur,2024-01-01
CUS_0x133f,ernie Woodallm,30,630-81-5640,Manager,2025-01-01
CUS_0x1340,Matthewo,42,868-01-7823,Architect,2023-05-01
CUS_0x1341,Zhuk,47,155-02-9593,Mechanic,2023-01-01
CUS_0x1343,Aubinm,21,443-92-7114,Teacher,2024-04-01
CUS_0x1348,Sudip Kar-Guptaq,43,#F%$D@*&8,Lawyer,2023-12-01
CUS_0x134d,Woldep,43,640-44-8899,Media_Manager,2024-02-01
CUS_0x1354,N.p,24,432-99-3925,Entrepreneur,2024-12-01
CUS_0x1355,Clement Tana,30,858-73-0131,Entrepreneur,2023-12-01
CUS_0x1358,Narayanan Somasundaramg,18,967-90-7262,Teacher,2023-11-01
CUS_0x135c,Brownc,41,594-39-3524,_______,2023-02-01
CUS_0x1367,Caroline Valetkevitchi,45,434-08-1310,Engineer,2023-11-01
CUS_0x136b,Luciana Otonit,45,444-16-2415,Writer,2023-03-01
CUS_0x136c,Mutikanik,56,158-74-4274,Lawyer,2023-08-01
CUS_0x1370,Rothackerb,32,710-06-0138,Writer,2024-08-01
CUS_0x1375,Stanley Whitev,15,841-27-0645,Lawyer,2023-01-01
CUS_0x1378,Alan Wheatleyx,15,674-69-0430,Mechanic,2024-08-01
CUS_0x137d,Frencho,33,193-22-4579,Media_Manager,2024-12-01
CUS_0x1382,Olesya Dmitracovaq,45,#F%$D@*&8,Entrepreneur,2024-05-01
CUS_0x1383,Niklasb,19,000-58-0568,Developer,2024-01-01
CUS_0x138b,ernie Woodallh,42,307-80-8496,Engineer,2023-12-01
CUS_0x138d,"ODonnell""d",39,568-44-1961,Mechanic,2024-11-01
CUS_0x138e,Herbertu,52,388-88-9221,Lawyer,2023-10-01
CUS_0x138f,McCranko,30,569-14-9292,Entrepreneur,2023-08-01
CUS_0x139b,Chen Aizhuk,46,346-99-5140,Scientist,2024-08-01
CUS_0x13a8,Baileyz,41_,918-56-2439,Journalist,2023-01-01
CUS_0x13a9,Saprud,46,920-85-0637,Manager,2024-08-01
CUS_0x13b0,Doug Palmerl,33,724-94-0404,Entrepreneur,2023-07-01
CUS_0x13b2,Horowitze,27,404-97-1261,Musician,2023-11-01
CUS_0x13b5,Tim Reids,54,023-34-9301,Lawyer,2024-07-01
CUS_0x13b8,ill Rigbyb,29,094-65-0795,Scientist,2024-07-01
CUS_0x13bc,Rie Ishiguroi,23,934-82-6083,Engineer,2023-11-01
CUS_0x13c2,Menonv,40_,090-98-4724,Teacher,2024-02-01
CUS_0x13c7,Asmab,34,305-39-6641,Teacher,2024-04-01
CUS_0x13ce,rax,52,396-50-4794,Manager,2024-08-01
CUS_0x13d1,Lt,22,689-84-3896,Musician,2023-05-01
CUS_0x13d5,Camposq,50,604-47-5660,Musician,2024-04-01
CUS_0x13d6,Michaelk,44,502-34-9558,Engineer,2023-07-01
CUS_0x13db,Natalieq,24,223-95-2140,Engineer,2023-12-01
CUS_0x13de,Scottx,35,298-78-5836,Lawyer,2023-07-01
CUS_0x13df,Clareh,38,082-87-9651,Engineer,2023-03-01
CUS_0x13e3,Sakthi Prasadb,55,437-66-3296,Musician,2023-12-01
CUS_0x13e4,Edward Krudyl,1248_,652-14-9122,Doctor,2025-01-01
CUS_0x13e7,Danielm,36,548-61-8467,Scientist,2023-08-01
CUS_0x13eb,Ryanh,30,110-23-1785,Journalist,2023-05-01
CUS_0x13ec,Gabriel Wildauu,55,840-30-6552,Engineer,2023-07-01
CUS_0x13ee,Claraj,31,497-59-7351,Doctor,2023-03-01
CUS_0x13ef,Lukey,52,767-08-2746,Media_Manager,2023-01-01
CUS_0x13f6,Levinea,46,178-96-0125,Entrepreneur,2023-07-01
CUS_0x13f8,Pedrob,19,124-54-4852,Mechanic,2024-06-01
CUS_0x13fa,Olivia Oranh,22,158-05-0970,Manager,2024-10-01
CUS_0x13fb,Umeshc,22,995-80-1416,Doctor,2024-11-01
CUS_0x140e,Myles Neliganp,41,622-11-3102,Engineer,2024-09-01
CUS_0x1410,Kiharaj,43,087-58-6247,Teacher,2024-10-01
CUS_0x1414,Chatterjeeo,46,960-30-9698,Journalist,2024-02-01
CUS_0x1416,Valentinaz,20,036-32-2011,Accountant,2023-11-01
CUS_0x141c,Singh Rossy,43,862-01-8685,Manager,2023-09-01
CUS_0x141d,Joew,26,989-82-3003,Journalist,2023-04-01
CUS_0x1422,Eva Kuehnent,16,#F%$D@*&8,Developer,2024-04-01
CUS_0x1425,Eric Onstadq,34,502-31-6140,Teacher,2024-09-01
CUS_0x142f,Langey,54,158-89-2902,Mechanic,2023-06-01
CUS_0x1430,Chiango,30_,945-49-4517,Doctor,2023-09-01
CUS_0x1431,Lefteris Papadimasq,32,752-76-8063,Mechanic,2023-04-01
CUS_0x1436,Jonesn,23,988-70-0775,Developer,2024-10-01
CUS_0x1437,Emilyb,46,865-46-7860,Scientist,2024-12-01
CUS_0x1439,Andreah,23,861-71-4122,_______,2023-12-01
CUS_0x143a,Lynch Jonathans,32,782-10-3214,Teacher,2023-08-01
CUS_0x143c,Kumar Singhj,35,422-18-4190,Accountant,2024-01-01
CUS_0x143d,Joneso,27,797-30-1627,Scientist,2024-12-01
CUS_0x1440,Jinq,19,807-69-2993,Teacher,2023-01-01
CUS_0x1441,Clarky,22,150-43-9697,Journalist,2023-12-01
CUS_0x1443,Saeed Azharq,31,557-52-9177,Lawyer,2023-01-01
CUS_0x1447,Fool,22,836-93-7211,Doctor,2024-10-01
CUS_0x144c,Karen Freifelde,53,317-80-3283,Mechanic,2024-03-01
CUS_0x144d,Dokoupill,23,269-66-4319,Mechanic,2024-12-01
CUS_0x144f,Katyad,17,035-27-0594,Engineer,2024-07-01
CUS_0x1452,Sarah Whited,41,976-05-6851,Architect,2023-02-01
CUS_0x1453,Ailx,48,580-73-5233,Scientist,2023-08-01
CUS_0x1458,Harro Tenk,6657,222-55-6808,Developer,2024-12-01
CUS_0x145a,Oreskovicb,29,648-17-9617,Lawyer,2023-01-01
CUS_0x145c,Lewis Krauskopfu,5959,448-30-5081,Writer,2023-06-01
CUS_0x1463,Rachnae,50,239-41-8144,Media_Manager,2025-01-01
CUS_0x146a,Ryanu,35,473-27-3479,Architect,2024-09-01
CUS_0x1470,Jatindrax,24,541-60-3931,Accountant,2024-02-01
CUS_0x1471,Peg Mackeyo,43,#F%$D@*&8,Teacher,2023-08-01
CUS_0x1472,Chiangx,38,144-90-7708,Entrepreneur,2024-06-01
CUS_0x147a,Chriss,20,947-32-0844,Writer,2024-08-01
CUS_0x147c,Soyoungb,32,504-71-5417,Teacher,2023-10-01
CUS_0x1488,Kirstiny,39,856-92-9467,Entrepreneur,2023-12-01
CUS_0x148b,Waltero,49,947-71-1861,Architect,2023-04-01
CUS_0x148e,N.o,45,942-00-5565,Accountant,2024-05-01
CUS_0x1492,en Hirschlerw,36,612-31-0459,Teacher,2023-01-01
CUS_0x1498,Raymondk,40,335-78-1643,Manager,2023-10-01
CUS_0x1499,Guptaj,50,440-22-8350,Engineer,2025-01-01
CUS_0x149e,Daveq,35,760-87-5470,Media_Manager,2023-06-01
CUS_0x14a3,Prustyx,-500,642-06-3189,Media_Manager,2023-07-01
CUS_0x14b3,Georged,54,109-01-0234,Lawyer,2023-07-01
CUS_0x14b4,Ingramp,33,377-94-2974,Engineer,2023-04-01
CUS_0x14b9,Silvia Aloisit,30,035-83-1012,Architect,2023-07-01
CUS_0x14ba,Kevin Yaoe,20,961-03-0481,Teacher,2023-05-01
CUS_0x14c1,Denny Thomasz,37,695-59-2005,Media_Manager,2023-11-01
CUS_0x14c2,Diane Bartzx,31,840-29-3626,Architect,2024-09-01
CUS_0x14ca,Bosellip,29,348-82-9499,Teacher,2023-06-01
CUS_0x14ce,Laul,44,318-82-4117,Musician,2024-04-01
CUS_0x14cf,Philf,29,195-25-5475,Musician,2023-08-01
CUS_0x14d0,Huwk,22,271-41-2506,Musician,2024-01-01
CUS_0x14d1,Matthewx,28,166-12-0556,Journalist,2023-09-01
CUS_0x14d3,enl,32,219-57-6916,Teacher,2023-12-01
CUS_0x14d5,Kirstinz,37,476-48-0347,Engineer,2023-02-01
CUS_0x14d8,Miyoung Kimg,47,577-56-8377,Writer,2023-03-01
CUS_0x14d9,Subhedarm,36,225-59-9039,Writer,2024-10-01
CUS_0x14de,Ormsbya,22,656-31-0155,Manager,2023-09-01
CUS_0x14e5,Michael Flahertym,29,836-69-3439,Doctor,2023-09-01
CUS_0x14ea,Tom Polanseks,42,298-76-0431,Teacher,2023-11-01
CUS_0x14ec,Mattp,27,931-56-3569,Media_Manager,2024-07-01
CUS_0x14f1,Viswanathag,30,#F%$D@*&8,Engineer,2024-09-01
CUS_0x14f4,Richardc,23_,870-88-0893,Developer,2024-12-01
CUS_0x14f5,Richard Leongd,41_,497-15-6333,Doctor,2023-10-01
CUS_0x14f6,Jarryj,655,095-65-3687,Doctor,2024-09-01
CUS_0x14ff,Ishchenkox,6991,027-71-3979,Writer,2023-04-01
CUS_0x150b,Pete Sweeneyw,21,459-49-6464,Entrepreneur,2024-05-01
CUS_0x150c,Robd,21,008-81-3367,Mechanic,2023-07-01
CUS_0x150d,Costa Markl,38,868-87-6401,Writer,2024-01-01
CUS_0x1510,Slatert,27,847-73-6303,Doctor,2024-08-01
CUS_0x151b,Allison Martelln,344,224-45-3294,Journalist,2024-12-01
CUS_0x1521,Sineadm,54,#F%$D@*&8,Accountant,2023-03-01
CUS_0x1528,Foow,44,770-63-1122,Entrepreneur,2024-04-01
CUS_0x1534,Ernest Scheyderi,26,764-41-7508,Scientist,2024-04-01
CUS_0x1535,Reganv,22,600-38-3364,Musician,2024-11-01
CUS_0x1537,Michaele,40,540-88-5808,_______,2023-04-01
CUS_0x153d,Saraht,20,365-79-1629,Accountant,2023-01-01
CUS_0x1540,Soyoung Kimf,26,742-16-8468,Engineer,2024-10-01
CUS_0x1542,James Regans,43,946-39-9629,Engineer,2024-12-01
CUS_0x1546,Ryanh,17,078-43-8169,Engineer,2024-03-01
CUS_0x1550,Scuffhamm,38,#F%$D@*&8,Musician,2024-01-01
CUS_0x1551,Kyle Petersonm,28,210-96-9043,Entrepreneur,2024-11-01
CUS_0x155b,Vellacottv,26,642-53-3146,_______,2024-10-01
CUS_0x1563,Scottc,16,303-54-9202,Developer,2024-12-01
CUS_0x1567,Tetsushik,31,675-44-1792,Entrepreneur,2023-01-01
CUS_0x1572,Martin Pettys,39,031-16-3010,Engineer,2024-08-01
CUS_0x1577,Wohlg,23,812-17-6549,Mechanic,2023-05-01
CUS_0x157a,Ben Klaymani,16,103-88-8332,Media_Manager,2023-06-01
CUS_0x157d,Thompsonf,24_,901-97-7993,Teacher,2024-10-01
CUS_0x1585,Kazunori Takadax,22,168-46-0002,Media_Manager,2023-06-01
CUS_0x1589,Olivia Oranw,36,618-91-2082,Doctor,2024-01-01
CUS_0x158e,Rodrigoo,34,208-03-8186,Writer,2024-11-01
CUS_0x1591,Olivia Oranh,20,352-06-6563,Writer,2024-03-01
CUS_0x1595,Lucy Hornbyw,40,132-58-0299,Accountant,2024-07-01
CUS_0x159b,Thatcheri,35,437-45-4869,Architect,2024-08-01
CUS_0x159f,Millikenw,34,554-38-9690,Engineer,2023-11-01
CUS_0x15a3,McCrankd,31,174-73-2790,Mechanic,2024-06-01
CUS_0x15a4,Madeline Chamberss,22,208-96-4573,Engineer,2023-03-01
CUS_0x15a7,Philippy,22,755-77-1230,Mechanic,2024-05-01
CUS_0x15a9,Petery,39,827-07-8942,Writer,2024-11-01
CUS_0x15ad,Peterl,27,357-70-0085,Mechanic,2023-01-01
CUS_0x15b4,Virkid,23,648-00-4817,Musician,2024-05-01
CUS_0x15b7,Anna Driverc,37,#F%$D@*&8,Engineer,2023-02-01
CUS_0x15b9,Alex rax,23,824-34-8358,Writer,2023-03-01
CUS_0x15c4,Sue Zeidlerd,38,267-54-6899,Journalist,2023-08-01
CUS_0x15c5,Jensent,39,680-70-8654,Doctor,2025-01-01
CUS_0x15cc,Anna Yukhananova,25,009-20-6501,Manager,2024-02-01
CUS_0x15d5,Grantq,24,296-39-6431,Teacher,2024-03-01
CUS_0x15d9,Edwine,34,595-11-4463,Doctor,2024-03-01
CUS_0x15da,Lynch Emilyy,24,283-09-7565,Doctor,2024-02-01
CUS_0x15dd,Annq,7490,794-51-3706,Architect,2024-05-01
CUS_0x15df,Whiteb,29,472-10-4696,Manager,2024-12-01
CUS_0x15e7,Yimou Leeh,16,948-92-5850,Media_Manager,2023-07-01
CUS_0x15ec,Phile,30,#F%$D@*&8,Manager,2024-07-01
CUS_0x15f1,Peter Rudegeairj,33,097-15-4981,_______,2024-08-01
CUS_0x15f2,Taiga Uranakar,32,708-00-6661,Teacher,2023-08-01
CUS_0x15f4,Barrh,17,858-25-8047,Developer,2024-06-01
CUS_0x15f7,Dhanyal,19,#F%$D@*&8,Engineer,2024-02-01
CUS_0x15f8,Sonali Paulv,37,979-81-8610,Developer,2024-06-01
